Mode Cell1 Cell2 overlap_percent overlap_raw
cis_independent PLT NK 0.367647058823529 1
cis_independent PLT ncMono 0 0
cis_independent PLT HSC 0 0
cis_independent PLT B 0 0
cis_independent PLT MAIT 0 0
cis_independent PLT iNKT 0 0
cis_independent PLT GDT 0 0
cis_independent PLT DP 0 0
cis_independent PLT DN 0 0
cis_independent PLT DC 0 0
cis_independent PLT cMono 0.145348837209302 1
cis_independent PLT PLT 100 5
